population,individual,sex,species,sequenced?,egg diameter.1,egg diameter.2,egg diameter.3,egg diameter.4,egg diameter.5,egg diameter.6,egg diameter.7,egg diameter.8,egg diameter.9,egg diameter.10,egg number,teste length.1,teste length.2,teste width.1,teste width.2,weight (mg),note,std.length,depth.1,membership
AL-S-2014,1,,C,,,,,,,,,,,,,,,,,,,5.115366632,1.224497229,
AL-S-2014,2,,C,,,,,,,,,,,,,,,,,,,4.683676661,1.199903103,
AL-S-2014,3,,C,,,,,,,,,,,,,,,,,,,5.181568772,1.239282381,
AL-S-2014,4,,C,,,,,,,,,,,,,,,,,,,4.227057258,0.794458679,
AL-S-2014,5,,C,,,,,,,,,,,,,,,,,,,4.975822455,1.217238742,
AL-S-2014,6,,C,,,,,,,,,,,,,,,,,,,4.801634309,1.153810652,
AL-S-2014,7,,C,,,,,,,,,,,,,,,,,,,4.656343024,1.167827684,
AL-S-2014,8,,C,,,,,,,,,,,,,,,,,,,4.982804592,1.184501315,
AL-S-2014,9,,C,,,,,,,,,,,,,,,,,,,4.979591626,1.139422344,
AL-S-2014,10,,C,,,,,,,,,,,,,,,,,,,5.063769402,1.184701292,
AL-S-2014,11,,C,,,,,,,,,,,,,,,,,,,4.922550161,1.176784277,
AL-S-2014,12,,C,,,,,,,,,,,,,,,,,,,5.227221917,1.192564467,
AL-S-2014,13,,C,,,,,,,,,,,,,,,,,,,4.834024705,1.092178871,
AL-S-2014,14,,C,,,,,,,,,,,,,,,,,,,4.882580982,1.177754361,
AL-S-2014,15,,C,,,,,,,,,,,,,,,,,,,5.230069844,1.270030153,
AL-S-2014,16,,C,,,,,,,,,,,,,,,,,,,4.830080204,1.194389321,
AL-S-2014,18,,C,,,,,,,,,,,,,,,,,,,3.346191912,0.784929695,
AL-S-2014,19,,C,,,,,,,,,,,,,,,,,,,3.299966415,0.742752095,
AL2014,1,F,B,1,1.3,1.2,1.2,1.5,1.7,1.5,1.2,1.2,1.4,1.4,103,,,,,3.093,,6.007390071,1.432640662,1
AL2014,2,F,B,1,1.7,1.5,1.7,1.6,1.7,1.7,1.6,1.5,1.6,1.6,139,,,,,3.995,,5.793603476,1.384105851,1
AL2014,3,F,B,1,1.2,1.4,1.3,1.4,1.4,1.1,1.3,1.3,1.2,1.5,69,,,,,3.543,,4.893378571,1.200085714,1
AL2014,4,,B,,,,,,,,,,,,,,,,,,,4.896104019,1.163465721,
AL2014,5,F,B,1,1.8,1.6,1.6,1.6,1.5,1.6,1.6,1.55,1.6,1.5,97,,,,,4.376,,5.517735225,1.432782506,1
AL2014,6,M,B,1,,,,,,,,,,,,5,NA,1.1,1,0.613,,5.420040797,1.317036415,1
AL2014,7,F,B,1,1.9,1.6,1.5,1.5,1.4,1.15,1.4,1.5,1.2,1.5,71,,,,,3.703,,5.452945627,1.277304965,1
AL2014,8,,B,,,,,,,,,,,,,,,,,,,5.012976191,1.148202746,
AL2014,9,,B,,,,,,,,,,,,,,,,,,,4.939483843,1.172328852,
AL2014,10,,B,,,,,,,,,,,,,,,,,,,5.623761651,1.312403231,
AL2014,11,F,B,1,1.4,1.5,1.5,1.5,1.5,1.5,1.5,1.6,1.45,1.4,80,,,,,3.45,x9,5.91173752,1.312098267,1
AL2014,12,M,B,1,,,,,,,,,,,,5.7,4.5,1.2,1.3,0.684,,4.967104392,1.134494299,1
AL2014,13,F,B,1,1.3,1.3,1.4,1.1,1.3,1.5,1.3,1.3,1.1,1.3,73,,,,,3.724,,5.750487487,1.322089183,1
AL2014,14,F,B,1,1.5,1.2,1.2,1.2,1.4,1.5,1.4,0.9,1.6,1.6,NA,,,,,2.479,,5.575784081,1.390108059,1
AL2014,15,,B,,,,,,,,,,,,,,,,,,,5.072222708,1.205663683,
AL2014,16,,B,,,,,,,,,,,,,,,,,,,5.056096927,1.163208038,
AL2014,17,,B,,,,,,,,,,,,,,,,,,,5.952634802,1.439695422,
AL2014,18,,B,,,,,,,,,,,,,,,,,,,5.232650109,1.319948563,
AL2014,19,,B,,,,,,,,,,,,,,,,,,,5.562092199,1.269680851,
AL2014,20,,B,,,,,,,,,,,,,,,,,,,5.650011737,1.387323944,
AL2014,21,M,B,1,,,,,,,,,,,,4.7,5.2,0.7,1,0.639,,5.177347518,1.248548463,1
AL2014,22,M,B,1,,,,,,,,,,,,5.5,6.5,1.1,1.25,0.61,,5.350830748,1.30749709,1
AL2014,23,M,B,1,,,,,,,,,,,,NA,NA,NA,NA,0.529,,5.198053153,1.23399749,1
AL2014,24,M,B,1,,,,,,,,,,,,6.3,5.7,1.9,1.2,0.944,,5.328821236,1.255286506,1
AL2014,25,,B,,,,,,,,,,,,,,,,,,,5.453669048,1.300019048,
AL2014,26,,B,,,,,,,,,,,,,,,,,,,5.411408213,1.219137681,
AL2014,27,,B,,,,,,,,,,,,,,,,,,,4.786031656,1.145598895,
AL2014,28,,B,,,,,,,,,,,,,,,,,,,4.994652174,1.231905797,
AL2014,29,M,B,1,,,,,,,,,,,,6.2,5.2,1.2,1,0.611,,5.167809179,1.217929952,1
AL2014,30,,B,,,,,,,,,,,,,,,,,,,4.907237459,1.179913719,
AL2014,31,,B,,,,,,,,,,,,,,,,,,,5.319551351,1.289740438,
AL2014,32,M,B,1,,,,,,,,,,,,7.2,4,1.6,1,0.717,,5.437160672,1.296961631,1
AL2014,33,,B,,,,,,,,,,,,,,,,,,,5.180530545,1.194207792,
AL2014,34,,B,,,,,,,,,,,,,,,,,,,5.527528632,1.359192603,
AL2014,34,,B,,,,,,,,,,,,,,,,,,,5.602248227,1.390234043,
AL2014,35,,B,,,,,,,,,,,,,,,,,,,5.497617569,1.323881145,
AL2014,35,,B,,,,,,,,,,,,,,,,,,,5.54486475,1.348101862,
AL2014,36,,B,,,,,,,,,,,,,,,,,,,5.440983568,1.246478873,
AL2014,37,,B,,,,,,,,,,,,,,,,,,,6.161307329,1.446877069,
AL2014,38,,B,,,,,,,,,,,,,,,,,,,4.826307302,1.153289469,
AL2014,39,,B,,,,,,,,,,,,,,,,,,,4.543311905,1.142878571,
AL2014,40,,B,,,,,,,,,,,,,,,,,,,5.133689036,1.21123633,
AL2014,41,,B,,,,,,,,,,,,,,,,,,,4.943555448,1.169324266,
AL2014,42,,B,,,,,,,,,,,,,,,,,,,4.952152582,1.170053991,
AL2014,43,,B,,,,,,,,,,,,,,,,,,,5.287094189,1.234090839,
AL2014,44,,B,,,,,,,,,,,,,,,,,,,4.900258366,1.141749184,
AL2014,45,,B,,,,,,,,,,,,,,,,,,,4.195368442,0.993794488,
BK,1,,C,,,,,,,,,,,,,,,,,,,5.532773859,1.231903375,
BK,2,,C,,,,,,,,,,,,,,,,,,,4.7690657,1.056285669,
BK,3,,C,,,,,,,,,,,,,,,,,,,5.832170205,1.362095264,
BK,4,,C,,,,,,,,,,,,,,,,,,,5.493616749,1.307765285,
BK,5,,C,,,,,,,,,,,,,,,,,,,5.024924299,1.150040639,
BK,6,,C,,,,,,,,,,,,,,,,,,,4.977374649,1.175954154,
BK,7,,C,,,,,,,,,,,,,,,,,,,5.97458961,1.352033775,
BK,8,,C,,,,,,,,,,,,,,,,,,,5.011373747,1.138505363,
BK,9,,C,,,,,,,,,,,,,,,,,,,6.690560377,1.457483878,
BK,10,,C,,,,,,,,,,,,,,,,,,,4.92749578,1.077354673,
BK,11,,C,,,,,,,,,,,,,,,,,,,5.249132154,1.198697077,
BK,12,,C,,,,,,,,,,,,,,,,,,,5.741741172,1.313530431,
BK,13,,C,,,,,,,,,,,,,,,,,,,5.16391169,1.225393635,
BK,14,,C,,,,,,,,,,,,,,,,,,,5.093897436,1.149279487,
BK,15,,C,,,,,,,,,,,,,,,,,,,5.302852528,1.225668902,
BK,16,,C,,,,,,,,,,,,,,,,,,,5.111524211,1.194141101,
BK,17,,C,,,,,,,,,,,,,,,,,,,5.297289497,1.266937425,
BK,18,,C,,,,,,,,,,,,,,,,,,,5.191669338,1.216451071,
BK,19,,C,,,,,,,,,,,,,,,,,,,5.154120903,1.139225762,
BK,20,,C,,,,,,,,,,,,,,,,,,,5.3611985,1.205596622,
BK,21,,C,,,,,,,,,,,,,,,,,,,5.883453017,1.337232944,
BK,22,,C,,,,,,,,,,,,,,,,,,,5.435276865,1.207121724,
BK,23,,C,,,,,,,,,,,,,,,,,,,5.200489204,1.210201502,
BK,24,,C,,,,,,,,,,,,,,,,,,,5.137964103,1.148820513,
BK,25,,C,,,,,,,,,,,,,,,,,,,4.964116905,1.122754583,
BK,26,,C,,,,,,,,,,,,,,,,,,,5.436389323,1.264137059,
BK,27,,C,,,,,,,,,,,,,,,,,,,5.334084575,1.221136811,
BK,28,,C,,,,,,,,,,,,,,,,,,,4.932572862,1.082041736,
BK,29,,C,,,,,,,,,,,,,,,,,,,5.357372452,1.189363491,
BK,30,,C,,,,,,,,,,,,,,,,,,,4.586238368,1.009572976,
BK,31,,C,,,,,,,,,,,,,,,,,,,5.065837618,1.124477891,
BK,32,,C,,,,,,,,,,,,,,,,,,,4.608853074,1.108224283,
BK,33,,C,,,,,,,,,,,,,,,,,,,4.751727355,1.083949065,
BK,34,,C,,,,,,,,,,,,,,,,,,,5.5277999,1.293398281,
BK,35,,C,,,,,,,,,,,,,,,,,,,4.771533526,1.132684532,
BK,36,,C,,,,,,,,,,,,,,,,,,,4.298308012,0.783765673,
BK,37,,C,,,,,,,,,,,,,,,,,,,4.661414295,1.070981371,
BK,38,,C,,,,,,,,,,,,,,,,,,,6.162670557,1.440153213,
BK,39,,C,,,,,,,,,,,,,,,,,,,5.160724227,1.189193299,
BK,40,,C,,,,,,,,,,,,,,,,,,,5.643457236,1.275610714,
BK,41,,C,,,,,,,,,,,,,,,,,,,4.772179956,1.076279113,
BK,42,,C,,,,,,,,,,,,,,,,,,,4.828552115,1.17395286,
BK,43,,C,,,,,,,,,,,,,,,,,,,4.404906088,0.991231803,
BK,44,,C,,,,,,,,,,,,,,,,,,,5.390471845,1.11800486,
BK,45,,C,,,,,,,,,,,,,,,,,,,4.958397215,1.216548817,
BK,46,,C,,,,,,,,,,,,,,,,,,,5.830909805,1.319094785,
BK,47,,C,,,,,,,,,,,,,,,,,,,4.73995198,1.076230426,
BK,48,,C,,,,,,,,,,,,,,,,,,,4.369915453,0.978966269,
BK,49,,C,,,,,,,,,,,,,,,,,,,4.671323382,1.102482784,
BK,50,,C,,,,,,,,,,,,,,,,,,,4.936907887,1.156379445,
BK,51,,C,,,,,,,,,,,,,,,,,,,5.463644708,1.215444653,
BK,52,,C,,,,,,,,,,,,,,,,,,,5.236422332,1.258655836,
BK,53,,C,,,,,,,,,,,,,,,,,,,5.104471434,1.124937192,
BK,54,,C,,,,,,,,,,,,,,,,,,,5.02339928,1.169828108,
BK,55,,C,,,,,,,,,,,,,,,,,,,4.657572075,1.153836292,
BK,56,,C,,,,,,,,,,,,,,,,,,,5.505457195,1.265451717,
BK,57,,C,,,,,,,,,,,,,,,,,,,5.289419966,1.162780482,
BK,58,,C,,,,,,,,,,,,,,,,,,,4.627914729,1.077630491,
BK,59,,C,,,,,,,,,,,,,,,,,,,5.737844587,1.234223936,
BK,60,,C,,,,,,,,,,,,,,,,,,,5.262794024,1.288159055,
BK,61,,C,,,,,,,,,,,,,,,,,,,4.958769518,1.119363457,
BK,62,,C,,,,,,,,,,,,,,,,,,,4.586140537,1.055118069,
BK,63,,C,,,,,,,,,,,,,,,,,,,4.616190104,1.016375,
BK,64,,C,,,,,,,,,,,,,,,,,,,6.270502454,1.404733652,
BK,65,,C,,,,,,,,,,,,,,,,,,,4.720407692,1.010623077,
BK,66,,C,,,,,,,,,,,,,,,,,,,5.455971894,1.302178995,
BK,67,,C,,,,,,,,,,,,,,,,,,,5.706688473,1.330970716,
BK,68,,C,,,,,,,,,,,,,,,,,,,4.921006753,1.142711373,
BK,69,,C,,,,,,,,,,,,,,,,,,,5.165976563,1.187526042,
BK,70,,C,,,,,,,,,,,,,,,,,,,4.504402964,1.141633851,
BK,71,,C,,,,,,,,,,,,,,,,,,,4.919197358,1.107683866,
BK,72,,C,,,,,,,,,,,,,,,,,,,4.993602067,1.11630491,
BK,73,,C,,,,,,,,,,,,,,,,,,,5.499812506,1.232878139,
BR,1,,C,,,,,,,,,,,,,,,,,,,4.798516089,1.08975486,
BR,2,,C,,,,,,,,,,,,,,,,,,,4.692245986,1.088124864,
BR,3,,C,,,,,,,,,,,,,,,,,,,5.169524205,1.085087726,
BR,4,,C,,,,,,,,,,,,,,,,,,,4.90310009,1.057596899,
BR,5,,C,,,,,,,,,,,,,,,,,,,4.729422262,0.990341546,
BR,6,,C,,,,,,,,,,,,,,,,,,,5.479556192,1.190161418,
BR,7,,C,,,,,,,,,,,,,,,,,,,6.016956186,1.371134021,
BR,8,,C,,,,,,,,,,,,,,,,,,,5.252889632,1.147954746,
BR,9,,C,,,,,,,,,,,,,,,,,,,5.276317925,1.164937431,
BR,10,,C,,,,,,,,,,,,,,,,,,,5.076841837,1.173568878,
BR,11,,C,,,,,,,,,,,,,,,,,,,5.273963154,1.13405982,
BR,12,,C,,,,,,,,,,,,,,,,,,,6.752167493,1.472564743,
BR,13,,C,,,,,,,,,,,,,,,,,,,5.663323257,1.348645329,
BR,14,,C,,,,,,,,,,,,,,,,,,,5.730396568,1.323095423,
BR,15,,C,,,,,,,,,,,,,,,,,,,5.246512367,1.235874479,
BR,16,,C,,,,,,,,,,,,,,,,,,,5.739708465,1.33331624,
BR,17,,C,,,,,,,,,,,,,,,,,,,5.785825641,1.420594872,
BR,18,F,C,1,,,,,,,,,,,,,,,,,,5.171258864,1.247673566,1
BR,19,M,C,1,,,,,,,,,,,,,,,,,,6.029693273,1.456657462,1
BR,20,F,C,1,,,,,,,,,,,,,,,,,,5.50341723,1.314795351,1
BR,21,M,C,1,,,,,,,,,,,,,,,,,,5.173652188,1.17433933,1
BR,22,,C,,,,,,,,,,,,,,,,,,,5.484654639,1.17747165,
BR,23,F,C,1,,,,,,,,,,,,,,,,,,5.633180699,1.337194679,1
BR,24,M,C,1,,,,,,,,,,,,,,,,,,5.655117602,1.26165119,1
BR,25,F,C,1,,,,,,,,,,,,,,,,,,5.721345302,1.311277324,1
BR,26,,C,,,,,,,,,,,,,,,,,,,5.695933674,1.389104592,
BR,27,,C,,,,,,,,,,,,,,,,,,,4.838900539,1.082418568,
BR,28,F,C,1,,,,,,,,,,,,,,,,,,4.997580184,1.211371848,1
BR,29,M,C,1,,,,,,,,,,,,,,,,,,5.132549054,1.189503745,1
BR,30,M,C,1,,,,,,,,,,,,,,,,,,5.303999015,1.184651596,1
BR,31,M,C,1,,,,,,,,,,,,,,,,,,5.181213319,1.143538425,1
BR,32,M,C,1,,,,,,,,,,,,,,,,,,5.040224872,1.127418721,1
BR,33,F,C,1,,,,,,,,,,,,,,,,,,5.721336353,1.362199744,1
BR,34,,C,,,,,,,,,,,,,,,,,,,5.633300107,1.306940918,
BR,35,,C,,,,,,,,,,,,,,,,,,,5.073019209,1.09692838,
BR,36,M,C,1,,,,,,,,,,,,,,,,,,5.174353423,1.186907385,1
BR,37,F,C,1,,,,,,,,,,,,,,,,,,5.699637131,1.401557028,1
BR,38,,C,,,,,,,,,,,,,,,,,,,5.699585465,1.317733192,
BR,39,,C,,,,,,,,,,,,,,,,,,,5.257733333,1.174458974,
BR,40,,C,,,,,,,,,,,,,,,,,,,5.425138139,1.260573582,
BR,41,,C,,,,,,,,,,,,,,,,,,,5.646180533,1.347008329,
BR,42,,C,,,,,,,,,,,,,,,,,,,5.13267093,1.247314857,
BR,43,,C,,,,,,,,,,,,,,,,,,,5.791451392,1.2975808,
BR,44,,C,,,,,,,,,,,,,,,,,,,5.837521569,1.3435174,
BR,45,,C,,,,,,,,,,,,,,,,,,,5.04609239,1.165406478,
BR,46,,C,,,,,,,,,,,,,,,,,,,5.232273945,1.201835874,
BR,47,,C,,,,,,,,,,,,,,,,,,,5.331935208,1.220466304,
BR,48,,C,,,,,,,,,,,,,,,,,,,6.24660507,1.405450961,
BR,49,,C,,,,,,,,,,,,,,,,,,,6.235479487,1.411441026,
BR,50,,C,,,,,,,,,,,,,,,,,,,5.340281178,1.175019712,
BR,51,,C,,,,,,,,,,,,,,,,,,,5.445340032,1.308157422,
BR,52,,C,,,,,,,,,,,,,,,,,,,5.292846332,1.250370623,
BR,53,,C,,,,,,,,,,,,,,,,,,,5.281699639,1.286665444,
BR,54,,C,,,,,,,,,,,,,,,,,,,5.626249962,1.323059291,
BR,55,,C,,,,,,,,,,,,,,,,,,,5.409146037,1.189905258,
BR,56,,C,,,,,,,,,,,,,,,,,,,5.093728286,1.190784599,
BR,57,,C,,,,,,,,,,,,,,,,,,,6.154332218,1.396751932,
BR,58,,C,,,,,,,,,,,,,,,,,,,5.206209105,1.175293683,
BR,59,,C,,,,,,,,,,,,,,,,,,,4.82634012,1.152358463,
BR,60,,C,,,,,,,,,,,,,,,,,,,6.224727528,1.376368805,
BR,61,,C,,,,,,,,,,,,,,,,,,,5.286337355,1.138921296,
BR,62,,C,,,,,,,,,,,,,,,,,,,5.592649734,1.384908179,
BR,63,,C,,,,,,,,,,,,,,,,,,,5.687818443,1.325162813,
BR,64,,C,,,,,,,,,,,,,,,,,,,5.121888758,1.18864623,
BR,65,,C,,,,,,,,,,,,,,,,,,,5.269933493,1.232915156,
BR,66,,C,,,,,,,,,,,,,,,,,,,5.205760715,1.169167814,
BR,67,,C,,,,,,,,,,,,,,,,,,,5.623875981,1.273555753,
BR,68,,C,,,,,,,,,,,,,,,,,,,5.509774614,1.273890209,
BR,69,,C,,,,,,,,,,,,,,,,,,,5.81453726,1.396827554,
BR,70,,C,,,,,,,,,,,,,,,,,,,5.724690067,1.275608387,
CB,1,,C,,,,,,,,,,,,,,,,,,,3.886763359,0.926216285,
CL,1,,B,,,,,,,,,,,,,,,,,,,4.665020356,1.038195929,
CL,2,,B,,,,,,,,,,,,,,,,,,,3.917378903,0.900771225,
CL,3,,B,,,,,,,,,,,,,,,,,,,4.204673608,0.984851431,
CL,4,F,B,1,1.5,1.6,1.5,1.5,1.4,1.5,1.5,1.5,1.5,1.45,80,,,,,3.746,,5.511225621,1.274061692,NA
CL,5,,B,,,,,,,,,,,,,,,,,,,3.929504902,0.933852941,
CL,6,,B,,,,,,,,,,,,,,,,,,,3.683057991,0.844453607,
CL,7,,B,,,,,,,,,,,,,,,,,,,4.253973039,1.051495098,
CL,8,,B,,,,,,,,,,,,,,,,,,,5.377433824,1.191267157,
CL,9,F,B,1,1.1,1.2,1.1,1.1,1.05,1.05,1,1.2,1.2,1.1,99,,,,,1.81,,5.490739758,1.222211249,1
CL,10,,B,,,,,,,,,,,,,,,,,,,5.468961397,1.355489774,
CL,11,F,B,1,1,1,0.9,1,0.9,0.9,0.8,1,1,1,91,,,,,1.25,,5.885,1.257696078,1
CL,12,F,B,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,eggs disintigrated,5.386918115,1.236848264,1
CL,13,,B,,,,,,,,,,,,,,,,,,,3.549211171,0.796033436,
CL,14,,B,,,,,,,,,,,,,,,,,,,3.859939812,0.858398481,
CL,16,,B,,,,,,,,,,,,,,,,,,,3.866123175,0.838037046,
CL,17,F,B,1,1.5,1.5,1.5,1.4,1.6,1.4,1.5,1.55,1.5,1.4,87,,,,,3.73,,4.886652482,1.177390071,1
CL,18,,B,,,,,,,,,,,,,,,,,,,3.750198337,0.868970665,
CL,19,M,B,1,,,,,,,,,,,,4,3.3,1,0.9,0.384,,3.990353227,0.867512286,2
CL,20,,B,,,,,,,,,,,,,,,,,,,3.638470449,0.851092199,
CL,21,M,B,1,,,,,,,,,,,,2.7,NA,0.7,NA,0.278,torn,3.844390071,0.893730497,2
CL,22,,B,,,,,,,,,,,,,,,,,,,4.087012007,0.943508622,
CL,23,M,B,1,,,,,,,,,,,,3.9,3.7,0.9,0.9,0.484,,4.729359469,1.030130163,1
CL,24,F,B,1,1,1,1,1,1,1.2,1.2,1.1,1.05,1.1,134,,,,,1.865,,5.39591344,1.271395273,1
CL,25,M,B,1,,,,,,,,,,,,3.7,2.9,0.75,0.5,0.255,,3.489231275,0.831068189,2
CL,26,,B,,,,,,,,,,,,,,,,,,,4.123704762,0.895169048,
CL,27,F,B,1,1.6,1.7,1.55,1.5,1.6,1.5,1.6,1.5,1.5,1.5,104,,,,,3.96,,5.192051399,1.23399749,1
CL,28,M,B,1,,,,,,,,,,,,4.2,NA,0.7,NA,0.427,torn,4.674090575,1.042606881,1
CL,29,M,B,1,,,,,,,,,,,,3.5,4.7,1,1.3,0.44,,3.8198071,0.929892312,2
CL,30,,B,,,,,,,,,,,,,,,,,,,4.057952719,0.950593381,
CL,31,F,B,1,1.7,1.6,0.15,1.5,1.6,1.6,1.5,1.6,1.7,1.6,25,,,,,3.725,,4.000657193,0.8515145,2
CL,32,,B,,,,,,,,,,,,,,,,,,,4.050433677,0.900714166,
CL,33,F,B,1,1.5,1.5,1.5,1.4,1.3,1.3,1.4,1.4,1.45,1.45,34,,,,,2.73,,3.854417497,0.83170414,2
CL,34,,B,,,,,,,,,,,,,,,,,,,3.81293391,0.901064431,
CL,35,,B,,,,,,,,,,,,,,,,,,,3.60301182,0.773179669,
CL,36,,B,,,,,,,,,,,,,,,,,,,4.326264775,0.89364539,
CL,37,,B,,,,,,,,,,,,,,,,,,,3.764737114,0.921847285,
CL,38,F,B,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,egg disintigrated,4.943171429,1.192942857,1
CL,39,M,B,1,,,,,,,,,,,,2.4,3.9,0.6,0.9,0.559,,3.894969634,0.858601786,2
CL,40,F,B,1,1.3,1.3,1.4,1.2,1.3,1.4,1.5,1.3,1.3,1.4,33,,,,,2.65,,3.525759377,0.838779606,2
