population,individual,sex,species,sequenced?,egg diameter.1,egg diameter.2,egg diameter.3,egg diameter.4,egg diameter.5,egg diameter.6,egg diameter.7,egg diameter.8,egg diameter.9,egg diameter.10,egg number,teste length.1,teste length.2,teste width.1,teste width.2,weight (mg),note,std.length,depth.1,membership
SK,23,,C,,,,,,,,,,,,,,,,,,,5.407291667,1.242647059,
SK,24,F,C,1,,,,,,,,,,,,,,,,,,5.415677439,1.31391374,1
SK,25,F,C,1,,,,,,,,,,,,,,,,,,5.547522003,1.301435501,1
SK,26,M,C,1,,,,,,,,,,,,,,,,,,5.177083461,1.157748198,1
SK,27,,C,,,,,,,,,,,,,,,,,,,5.392180945,1.207045662,
SK,28,,C,,,,,,,,,,,,,,,,,,,5.059742093,1.175997567,
SK,29,,C,,,,,,,,,,,,,,,,,,,4.70199823,1.05146675,
SK,30,F,C,1,,,,,,,,,,,,,,,,,,5.323941177,1.213257353,1
SK,31,,C,,,,,,,,,,,,,,,,,,,5.214256835,1.227665346,
SK,32,,C,,,,,,,,,,,,,,,,,,,5.096642182,1.162411712,
SK,33,,C,,,,,,,,,,,,,,,,,,,5.378190124,1.237834568,
SK,34,,C,,,,,,,,,,,,,,,,,,,5.20968156,1.325783757,
SK,35,,C,,,,,,,,,,,,,,,,,,,5.598966938,1.255526008,
SK,36,F,C,1,,,,,,,,,,,,,,,,,,4.426356152,1.117712513,1
SK,37,,C,,,,,,,,,,,,,,,,,,,5.486718137,1.279411765,
SK,38,,C,,,,,,,,,,,,,,,,,,,5.095450858,1.222346947,
SK,39,,C,,,,,,,,,,,,,,,,,,,4.550817518,1.008990268,
SK,40,,C,,,,,,,,,,,,,,,,,,,5.268306492,1.1841568,
SK,41,,C,,,,,,,,,,,,,,,,,,,3.983051804,1.023160826,
SK,42,,C,,,,,,,,,,,,,,,,,,,5.116269231,1.246248718,
SK,43,,C,,,,,,,,,,,,,,,,,,,4.906678732,1.061365687,
SK,44,,C,,,,,,,,,,,,,,,,,,,5.232982575,1.161528363,
SK,45,,C,,,,,,,,,,,,,,,,,,,5.085746505,1.230185681,
SK,46,,C,,,,,,,,,,,,,,,,,,,5.396963824,1.286844961,
SK,47,,C,,,,,,,,,,,,,,,,,,,4.738415741,1.115375937,
SK,48,,C,,,,,,,,,,,,,,,,,,,4.763461233,1.161427114,
SK,49,,C,,,,,,,,,,,,,,,,,,,4.574454659,1.076333741,
SR2014,1,F,B,1,0.7,0.7,0.8,0.7,0.6,0.6,0.9,0.7,0.85,0.6,53,,,,,0.777,,5.05037249,1.05713898,1
SR2014,2,,B,,,,,,,,,,,,,,,,,,,3.743999568,0.859160914,
SR2014,3,,B,,,,,,,,,,,,,,,,,,,3.82449629,0.73061457,
SR2014,4,,B,,,,,,,,,,,,,,,,,,,4.042149146,0.943874689,
SR2014,5,,B,,,,,,,,,,,,,,,,,,,3.947192318,0.908659045,
SR2014,6,,B,,,,,,,,,,,,,,,,,,,3.681568564,0.858162081,
SR2014,7,,B,,,,,,,,,,,,,,,,,,,4.036140734,0.950562047,
SR2014,8,,B,,,,,,,,,,,,,,,,,,,4.872434272,1.155016432,
SR2014,9,,B,,,,,,,,,,,,,,,,,,,4.356632713,1.014057947,
SR2014,10,,B,,,,,,,,,,,,,,,,,,,3.868364158,0.812511285,
SR2014,11,,B,,,,,,,,,,,,,,,,,,,3.600047886,0.80307316,
SR2014,12,,B,,,,,,,,,,,,,,,,,,,4.002882629,0.929683099,
SR2014,13,,B,,,,,,,,,,,,,,,,,,,3.214671362,0.683133803,
SR2014,14,,B,,,,,,,,,,,,,,,,,,,3.992589932,0.922552237,
SR2014,15,F,B,1,1,0.8,0.9,0.6,0.7,0.7,0.9,0.9,0.7,0.7,60,,,,,0.823,,5.182592327,1.112923139,2
SR2014,16,,B,,,,,,,,,,,,,,,,,,,4.638177258,1.049641735,
SR2014,17,,B,,,,,,,,,,,,,,,,,,,3.983653004,0.965406997,
SR2014,18,M,B,1,,,,,,,,,,,,3.5,3.8,1,1.05,0.588,,4.071316785,0.89364539,2
SR2014,19,,B,,,,,,,,,,,,,,,,,,,3.994141844,0.936170213,
SR2014,20,F,B,1,1.5,1.5,1.5,1.45,1.4,1.45,1.4,1.4,1.45,1.35,92,,,,,3.79,,5.248923815,1.246355993,2
SR2014,21,,B,,,,,,,,,,,,,,,,,,,4.26939725,0.929297347,
SR2014,22,,B,,,,,,,,,,,,,,,,,,,4.007441122,0.873245057,
SR2014,23,,B,,,,,,,,,,,,,,,,,,,4.661522459,1.134950355,
SR2014,24,,B,,,,,,,,,,,,,,,,,,,5.287835681,1.155122066,1
SR2014,25,M,B,1,,,,,,,,,,,,3.8,4.2,1.2,0.9,0.484,,3.907931472,0.893707256,2
SR2014,26,,B,,,,,,,,,,,,,,,,,,,3.821801124,0.861806265,
SR2014,27,,B,,,,,,,,,,,,,,,,,,,3.822602722,0.830522138,
SR2014,28,,B,,,,,,,,,,,,,,,,,,,3.935773111,0.885950606,
SR2014,29,,B,,,,,,,,,,,,,,,,,,,3.453839262,0.77566068,
SR2014,30,,B,,,,,,,,,,,,,,,,,,,3.538605634,0.795805164,
SR2014,31,,B,,,,,,,,,,,,,,,,,,,4.304999161,0.971605939,
SR2014,32,,B,,,,,,,,,,,,,,,,,,,3.739974178,0.894809859,
SR2014,33,,B,,,,,,,,,,,,,,,,,,,4.979229314,1.170406619,
SR2014,34,F,B,1,0.7,0.95,0.9,0.9,1,0.95,1,1,0.9,1,55,,,,,1.103,,5.19741784,1.119807512,1
SR2014,35,,B,,,,,,,,,,,,,,,,,,,4.486849765,0.964814554,
SR2014,37,F,B,1,0.8,1,1,1,0.95,1.1,1.1,0.95,1,1,69,,,,,2.049,,7.134782506,1.461009456,1
SR2014,38,,B,,,,,,,,,,,,,,,,,,,4.77459734,1.077727079,
SR2014,39,,B,,,,,,,,,,,,,,,,,,,3.541427334,0.718842941,
SR2014,40,,B,,,,,,,,,,,,,,,,,,,3.944623496,0.859160914,
SR2014,41,,B,,,,,,,,,,,,,,,,,,,3.874777881,0.908537573,
SR2014,42,,B,,,,,,,,,,,,,,,,,,,4.690568075,1.119739437,
SR2014,43,,B,,,,,,,,,,,,,,,,,,,4.817291103,1.077528515,
SR2014,44,,B,,,,,,,,,,,,,,,,,,,4.239809859,0.894394366,
SR2014,45,F,B,1,1.1,1.05,1,1,1.1,1.2,1.1,1,0.9,0.7,47,,,,,1.487,,4.984222222,1.135106383,1
SR2014,46,,B,,,,,,,,,,,,,,,,,,,4.504859212,1.014257313,
SR2014,47,,B,,,,,,,,,,,,,,,,,,,3.556572263,0.767061504,
SR2014,48,,B,,,,,,,,,,,,,,,,,,,4.455416053,0.938829014,
SR2014,49,,B,,,,,,,,,,,,,,,,,,,3.74680466,0.791850445,
SR2014,50,,B,,,,,,,,,,,,,,,,,,,4.326945627,0.96477305,
SR2014,51,M,B,1,,,,,,,,,,,,4.2,4.4,1.05,1,0.393,,3.787472813,0.829787234,2
SR2014,52,,B,,,,,,,,,,,,,,,,,,,4.154519977,0.979410481,
SR2014,53,,B,,,,,,,,,,,,,,,,,,,4.886869976,1.063829787,
SR2014,54,,B,,,,,,,,,,,,,,,,,,,3.707203786,0.793066424,
SR2014,55,,B,,,,,,,,,,,,,,,,,,,4.576571967,0.950782961,
SR2014,56,,B,,,,,,,,,,,,,,,,,,,3.971953776,0.852353578,
SR2014,57,,B,,,,,,,,,,,,,,,,,,,3.969869976,0.900959811,
SR2014,58,F,B,1,1.3,1.2,1,1.05,1.2,1.3,1,1.1,1.1,1.2,48,,,,,2.373,,4.375598283,1.014081796,1
SR2014,59,,B,,,,,,,,,,,,,,,,,,,3.943823682,0.902983857,
SR2014,60,,B,,,,,,,,,,,,,,,,,,,3.674649123,0.880809246,
SR2014,61,,B,,,,,,,,,,,,,,,,,,,4.663049652,1.070525911,
SR2014,62,,B,,,,,,,,,,,,,,,,,,,4.028420065,0.865488132,
SR2014,63,,B,,,,,,,,,,,,,,,,,,,3.739398748,0.823952903,
SR2014,64,,B,,,,,,,,,,,,,,,,,,,3.865174462,0.852041046,
SR2014,65,,B,,,,,,,,,,,,,,,,,,,3.755007042,0.816901409,
SR2014,66,,B,,,,,,,,,,,,,,,,,,,3.79717256,0.783324398,
SR2014,67,,B,,,,,,,,,,,,,,,,,,,3.880307575,0.880223077,
SR2014,68,,B,,,,,,,,,,,,,,,,,,,3.860079812,0.929683099,
SR2014,69,,B,,,,,,,,,,,,,,,,,,,4.486154113,0.950914413,
SR2014,70,,B,,,,,,,,,,,,,,,,,,,4.063526954,0.900533212,
SR2014,71,,B,,,,,,,,,,,,,,,,,,,4.13839627,0.902125874,
SR2014,72,,B,,,,,,,,,,,,,,,,,,,4.045061887,0.846162094,
SR2014,73,,B,,,,,,,,,,,,,,,,,,,3.944410429,0.921990208,
SR2014,74,,B,,,,,,,,,,,,,,,,,,,4.09992648,0.900685798,
SR2014,75,,B,,,,,,,,,,,,,,,,,,,4.489077942,1.015296317,
SR2014,76,F,B,1,1.2,1.2,1.3,1.3,1.1,1.2,1.2,1.1,1.3,1.1,59,,,,,2.782,,5.751813239,1.241134752,NA
SR2014,77,,B,,,,,,,,,,,,,,,,,,,4.796813794,1.070988698,
SR2014,78,,B,,,,,,,,,,,,,,,,,,,4.051474673,0.922000837,
SR2014,79,,B,,,,,,,,,,,,,,,,,,,4.55202381,0.964390476,
SR2014,80,M,B,1,,,,,,,,,,,,4,5.6,0.8,1.2,0.561,,4.11223209,0.978649925,2
SR2014,81,,B,,,,,,,,,,,,,,,,,,,3.626673959,0.753534533,
SR2014,82,,B,,,,,,,,,,,,,,,,,,,3.81905712,0.842956494,
SR2014,83,,B,,,,,,,,,,,,,,,,,,,4.049687793,0.887575117,
SR2014,84,,B,,,,,,,,,,,,,,,,,,,3.583356974,0.822725768,
SR2014,85,,B,,,,,,,,,,,,,,,,,,,3.591798122,0.802847418,
SR2014,86,,B,,,,,,,,,,,,,,,,,,,4.951221127,1.071104534,
SR2014,87,,B,,,,,,,,,,,,,,,,,,,3.887395238,0.93582381,
SR2014,88,F,B,1,1.2,1.25,1.4,1.3,1.2,1.3,1.2,1.3,1.4,1.4,58,,,,,3.372,,4.899551643,1.155272301,1
SR2014,89,F,B,1,1.3,1.2,1.4,1.2,1.2,1.3,1.25,1.3,1.3,1.3,67,,,,,2.924,,4.873225519,1.117256998,1
SR2014,90,,B,,,,,,,,,,,,,,,,,,,4.224352381,0.964285714,
SR2014,91,,B,,,,,,,,,,,,,,,,,,,4.226544347,0.94340528,
SR2014,92,M,B,1,,,,,,,,,,,,4.3,4.5,1.3,1.2,0.575,,4.056744681,0.908799054,2
SR2014,93,,B,,,,,,,,,,,,,,,,,,,4.350092857,0.964390476,
SR2014,94,,B,,,,,,,,,,,,,,,,,,,3.435177809,0.801428332,
SR2014,95,,B,,,,,,,,,,,,,,,,,,,3.44519273,0.767618677,
SR2014,96,F,B,1,0.95,0.8,0.8,0.8,0.9,0.9,0.8,0.8,0.8,0.9,47,,,,,0.942,,5.013693486,1.049286221,1
SR2014,97,,B,,,,,,,,,,,,,,,,,,,5.120104895,1.118902098,
SR2014,98,,B,,,,,,,,,,,,,,,,,,,3.652668878,0.893779119,
SR2014,99,,B,,,,,,,,,,,,,,,,,,,3.907202381,0.88597381,
SR2014,100,,B,,,,,,,,,,,,,,,,,,,4.092864286,0.893114286,
SR2014,101,,B,,,,,,,,,,,,,,,,,,,3.782247407,0.901631648,
SR2014,102,,B,,,,,,,,,,,,,,,,,,,4.312056738,0.986224586,
SR2014,103,,B,,,,,,,,,,,,,,,,,,,4.534537458,0.97162425,
SR2014,104,,B,,,,,,,,,,,,,,,,,,,4.071347923,0.95774757,
SR2014,105,F,B,1,0.9,0.8,0.8,0.8,0.8,0.7,0.9,0.8,0.7,0.8,39,,,,,0.977,,3.874116749,0.879438123,2
SR2014,106,,B,,,,,,,,,,,,,,,,,,,4.232819769,0.958065167,
SR2014,107,F,B,1,1.1,1,0.95,0.9,1.05,1.1,1,1.05,1.1,1.1,40,,,,,1.976,,4.277153859,0.964544975,2
SR2014,108,,B,,,,,,,,,,,,,,,,,,,3.654377782,0.823162991,
SR2014,109,,B,,,,,,,,,,,,,,,,,,,3.992660321,0.886888567,
SR2014,110,,B,,,,,,,,,,,,,,,,,,,4.20076379,0.92857568,
SR2014,111,,B,,,,,,,,,,,,,,,,,,,4.136016667,0.900028571,
SR2014,112,,B,,,,,,,,,,,,,,,,,,,4.390528852,1.04983322,
SR2014,113,F,B,1,1,1,1,1.05,0.95,0.9,0.9,0.9,0.95,1,117,,,,,1.358,,5.542256934,1.248180445,1
SR2014,114,M,B,1,,,,,,,,,,,,5.2,6,1.4,1.4,0.583,,3.957666239,0.843527925,2
SR2014,115,,B,,,,,,,,,,,,,,,,,,,3.617038328,0.802182449,
SR2014,116,,B,,,,,,,,,,,,,,,,,,,3.803450386,0.828825912,
SR2014,117,,B,,,,,,,,,,,,,,,,,,,3.949698007,0.821375431,
SR2014,118,,B,,,,,,,,,,,,,,,,,,,3.500066667,0.828847619,
SR2014,119,,B,,,,,,,,,,,,,,,,,,,3.701385334,0.82184205,
SR2014,120,M,B,1,,,,,,,,,,,,4.8,3.9,1,1.1,0.38,,3.822602722,0.872433577,2
SR2014,121,,B,,,,,,,,,,,,,,,,,,,3.742766261,0.785986558,
SR2014,122,,B,,,,,,,,,,,,,,,,,,,3.650749623,0.76456569,
SR2014,123,,B,,,,,,,,,,,,,,,,,,,3.858218817,0.865951476,
SR2014,124,,B,,,,,,,,,,,,,,,,,,,6.598017546,1.589892461,
SR2014,125,F,B,1,1.5,1.55,1.5,1.55,1.55,1.6,1.6,1.6,1.6,1.5,122,,,,,4.235,,5.980241135,1.397810875,1
SR2014,126,,B,,,,,,,,,,,,,,,,,,,4.874076561,1.141901747,
SR2014,127,,B,,,,,,,,,,,,,,,,,,,4.149232394,0.901518779,
SR2014,128,M,B,1,,,,,,,,,,,,4,3.8,0.8,0.7,0.36,,3.457774648,0.753652582,1
SR2014,129,,B,,,,,,,,,,,,,,,,,,,3.894291462,0.873216889,
SR2014,130,F,B,1,1,1,1,1,1.05,1,1,1,1.05,0.95,91,,,,,1.712,,5.471992857,1.178657143,1
SR2014,131,F,B,1,1.4,1.3,1.4,1.5,1.3,1.3,1.3,1.5,1.5,1.45,42,,,,,2.569,,3.618801418,0.81563357,2
SR2014,132,,B,,,,,,,,,,,,,,,,,,,3.781748826,0.823974178,
SR2014,133,F,B,1,1.5,1.5,1.2,1.3,1.3,1.5,1.4,1.3,1.3,1.3,43,,,,,2.101,,4.32231462,0.957152006,1
SR2014,134,,B,,,,,,,,,,,,,,,,,,,3.817311439,0.936527385,
SR2014,135,,B,,,,,,,,,,,,,,,,,,,4.680705428,1.014156911,
SR2014,136,,B,,,,,,,,,,,,,,,,,,,3.704991527,0.845456551,
SR2014,137,M,B,1,,,,,,,,,,,,3.7,3.5,1.2,1.1,0.652,,3.782633803,0.880535211,2
SR2014,138,,B,,,,,,,,,,,,,,,,,,,4.071704991,0.915557752,
SR2014,139,,B,,,,,,,,,,,,,,,,,,,3.893280352,0.872511778,
SR2014,140,,B,,,,,,,,,,,,,,,,,,,4.448326403,0.978723958,
SR2014,141,F,B,1,0.95,1,1,1,1.05,1.1,1,0.95,1.1,1.2,37,,,,,1.82,,4.220238771,0.936600473,2
SR2014,142,,B,,,,,,,,,,,,,,,,,,,4.627103286,1.035307512,
SR2014,143,,B,,,,,,,,,,,,,,,,,,,4.057535211,0.831253521,
SR2014,144,F,B,1,1,0.95,0.95,1,0.9,0.8,1,1.1,1.1,0.7,58,,,,,0.985,,4.883472813,1.036068558,1
SR2014,145,,B,,,,,,,,,,,,,,,,,,,4.267640976,0.936701165,
SR2014,146,,B,,,,,,,,,,,,,,,,,,,4.448680751,0.972061033,
SR2014,147,,B,,,,,,,,,,,,,,,,,,,4.007587881,0.907820245,
SR2014,148,F,B,1,1.25,1.25,1.25,1.2,1.4,1.3,1.3,1.2,1.1,1.3,63,,,,,2.167,,4.077215392,0.936633008,2
SR2014,149,F,B,1,1.4,1.25,1.35,1.4,1.3,1.4,1.3,1.25,1.25,1.3,85,,,,,2.442,,4.283512722,0.936252249,2
SR2014,150,,B,,,,,,,,,,,,,,,,,,,3.908562123,0.85134343,
SR2014,151,,B,,,,,,,,,,,,,,,,,,,5.817023504,1.429695477,
SR2014,152,,B,,,,,,,,,,,,,,,,,,,4.256877934,0.91592723,
SR2014,153,,B,,,,,,,,,,,,,,,,,,,3.822801418,0.887234043,
SR2014,154,,B,,,,,,,,,,,,,,,,,,,4.262691972,0.979266883,
SR2014,155,,B,,,,,,,,,,,,,,,,,,,4.667602025,1.021349327,
SR2014,156,,B,,,,,,,,,,,,,,,,,,,3.940165524,0.915646814,
SR2014,157,,B,,,,,,,,,,,,,,,,,,,5.257009936,1.153712641,
SR2014,158,,B,,,,,,,,,,,,,,,,,,,4.418894544,0.986198941,
SR2014,159,M,B,1,,,,,,,,,,,,7.8,7.3,1.5,1.3,2.226,,6.056874118,1.367051555,1
SR2014,160,,B,,,,,,,,,,,,,,,,,,,4.30141533,0.96492999,
SR2014,161,,B,,,,,,,,,,,,,,,,,,,3.800892019,0.831016432,
SR2014,162,,B,,,,,,,,,,,,,,,,,,,3.568738835,0.830994974,
SR2014,163,,B,,,,,,,,,,,,,,,,,,,3.885721429,0.872480952,
SR2014,164,,B,,,,,,,,,,,,,,,,,,,3.859632329,0.865051903,
SR2014,165,,B,,,,,,,,,,,,,,,,,,,4.199628206,0.888241065,
SR2014,166,,B,,,,,,,,,,,,,,,,,,,4.343229314,1.007316785,
SR2014,167,,B,,,,,,,,,,,,,,,,,,,3.75435627,0.808614906,
SR2014,168,,B,,,,,,,,,,,,,,,,,,,4.117637808,0.908537573,
SR2014,169,,B,,,,,,,,,,,,,,,,,,,4.164839658,0.88703273,
SR2014,170,,B,,,,,,,,,,,,,,,,,,,3.870051552,0.852037572,
SR2014,171,,B,,,,,,,,,,,,,,,,,,,3.499916669,0.768393304,
SR2014,172,,B,,,,,,,,,,,,,,,,,,,4.089933806,0.859534598,
SR2014,173,,B,,,,,,,,,,,,,,,,,,,3.964648984,0.894904301,
SR2014,174,,B,,,,,,,,,,,,,,,,,,,4.163229798,0.858251913,
SR2014,175,,B,,,,,,,,,,,,,,,,,,,4.237322434,0.94494233,
SR2014,176,,B,,,,,,,,,,,,,,,,,,,3.914552421,0.915048825,
SR2014,177,,B,,,,,,,,,,,,,,,,,,,3.867750484,0.843949685,
SR2014,178,,B,,,,,,,,,,,,,,,,,,,4.33588961,0.979955604,
SR2014,179,,B,,,,,,,,,,,,,,,,,,,3.532683547,0.765937529,
SR2014,180,,B,,,,,,,,,,,,,,,,,,,3.717659873,0.810112884,
SR2014,181,,B,,,,,,,,,,,,,,,,,,,3.864780952,0.800030952,
SR2014,182,,B,,,,,,,,,,,,,,,,,,,4.066789355,0.944057783,
SR2014,183,,B,,,,,,,,,,,,,,,,,,,4.179517335,0.935644684,
SR2014,184,,B,,,,,,,,,,,,,,,,,,,4.073033333,0.914535714,
SR2014,185,,B,,,,,,,,,,,,,,,,,,,4.78861344,1.001187763,
SR2014,186,,B,,,,,,,,,,,,,,,,,,,3.978467231,0.871670028,
SR2014,187,,B,,,,,,,,,,,,,,,,,,,3.441440819,0.735695018,
SR2014,188,,B,,,,,,,,,,,,,,,,,,,3.637768107,0.790194394,
SR2014,189,,B,,,,,,,,,,,,,,,,,,,4.471675742,0.972348343,
SR2014,190,,B,,,,,,,,,,,,,,,,,,,3.796052971,0.888241065,
SR2014,191,,B,,,,,,,,,,,,,,,,,,,4.347718721,0.964996209,
SR2014,192,,B,,,,,,,,,,,,,,,,,,,3.38888009,0.794751361,
SR2014,193,,B,,,,,,,,,,,,,,,,,,,3.922660207,0.887682435,
SR2014,194,,B,,,,,,,,,,,,,,,,,,,3.852431734,0.837609424,
SR2014,195,,B,,,,,,,,,,,,,,,,,,,3.512051834,0.786381547,
SR2014,196,,B,,,,,,,,,,,,,,,,,,,4.381654378,0.957447915,
SR2014,197,,B,,,,,,,,,,,,,,,,,,,3.602891264,0.837976068,
TC,1,,B,,,,,,,,,,,,,,,,,,,5.810489261,1.387834804,
TC,2,,B,,,,,,,,,,,,,,,,,,,6.823292128,1.484137548,
TC,3,,B,,,,,,,,,,,,,,,,,,,6.085148764,1.440732974,
TC,4,,B,,,,,,,,,,,,,,,,,,,6.971196429,1.479591837,
TC,5,,B,,,,,,,,,,,,,,,,,,,5.206894089,1.229541942,
TC,6,,B,,,,,,,,,,,,,,,,,,,5.598784602,1.274451641,
TC,7,,B,,,,,,,,,,,,,,,,,,,6.326036749,1.512646566,
TC,8,,B,,,,,,,,,,,,,,,,,,,5.745934027,1.343728927,
TC,9,,B,,,,,,,,,,,,,,,,,,,4.927950034,1.215708898,
TC,10,,B,,,,,,,,,,,,,,,,,,,5.202648874,1.154208362,
TC,11,,B,,,,,,,,,,,,,,,,,,,5.651641089,1.421465673,
TC,12,,B,,,,,,,,,,,,,,,,,,,4.950108932,1.150209445,
TC,13,,B,,,,,,,,,,,,,,,,,,,4.877679772,1.162164529,
TC,14,,B,,,,,,,,,,,,,,,,,,,5.361965178,1.326413227,
TC,15,,B,,,,,,,,,,,,,,,,,,,5.635195423,1.247501965,
TC,16,,B,,,,,,,,,,,,,,,,,,,5.116923751,1.113387714,
TC,17,,B,,,,,,,,,,,,,,,,,,,5.721977923,1.314013923,
TC,18,,B,,,,,,,,,,,,,,,,,,,5.76838367,1.315583435,
TC,19,,B,,,,,,,,,,,,,,,,,,,5.374299329,1.221593677,
TC,20,,B,,,,,,,,,,,,,,,,,,,5.330322577,1.280484866,
TC,21,,B,,,,,,,,,,,,,,,,,,,5.543560106,1.354231967,
TC,13A,,B,,,,,,,,,,,,,,,,,,,5.546421859,1.195512549,
