gene_id,chrom,bias_direction,fold-change,entrez_gene_id
ENSGACG00000000043,scaffold_243,F,>1.5,9413
ENSGACG00000000048,scaffold_757,M,>1.5,0
ENSGACG00000000065,scaffold_99,M,>2,2199
ENSGACG00000000102,scaffold_95,F,>2,4342
ENSGACG00000000190,scaffold_374,M,>1.5,NA
ENSGACG00000000242,scaffold_175,M,>2,130340
ENSGACG00000000251,scaffold_175,M,>1.5,23704
ENSGACG00000000261,scaffold_175,F,>1.2,10056
ENSGACG00000000278,scaffold_114,F,>1.2,9283
ENSGACG00000000296,scaffold_114,F,>1.5,0
ENSGACG00000000309,scaffold_27,F,>1.5,26354
ENSGACG00000000373,scaffold_131,F,>1.2,54853
ENSGACG00000000428,scaffold_80,F,>1.5,91646
ENSGACG00000000469,scaffold_80,F,>1.5,6605
ENSGACG00000000555,scaffold_27,M,>2,6821
ENSGACG00000000590,scaffold_90,F,>1.2,NA
ENSGACG00000000618,scaffold_27,M,>1.5,4035
ENSGACG00000000649,scaffold_205,M,>3,NA
ENSGACG00000000713,scaffold_27,M,>1.2,2583
ENSGACG00000000741,scaffold_27,F,>1.2,NA
ENSGACG00000000766,scaffold_27,M,>1.2,152273
ENSGACG00000000768,scaffold_47,M,>1.5,94031
ENSGACG00000000823,scaffold_27,M,>1.5,7867
ENSGACG00000000824,scaffold_27,M,>1.2,131669
ENSGACG00000000836,scaffold_27,M,>2,389119
ENSGACG00000000856,scaffold_197,F,>1.5,54606
ENSGACG00000000877,scaffold_47,F,>1.5,54914
ENSGACG00000000882,scaffold_27,F,>3,2876
ENSGACG00000000884,scaffold_27,F,>1.5,2177
ENSGACG00000000892,scaffold_47,F,>1.2,93587
ENSGACG00000000923,scaffold_157,M,>1.2,4881
ENSGACG00000000930,scaffold_27,F,>1.2,25917
ENSGACG00000000963,scaffold_27,F,>1.2,1434
ENSGACG00000000966,scaffold_47,F,>1.2,84448
ENSGACG00000000969,scaffold_47,F,>1.2,29063
ENSGACG00000000972,scaffold_37,F,>1.5,55915
ENSGACG00000000980,scaffold_27,F,>1.2,55193
ENSGACG00000000989,scaffold_27,F,>1.5,0
ENSGACG00000000990,scaffold_27,F,>1.2,3664
ENSGACG00000001071,scaffold_121,M,>2,0
ENSGACG00000001081,scaffold_150,F,>1.5,84549
ENSGACG00000001108,scaffold_150,F,>1.2,10105
ENSGACG00000001115,scaffold_121,M,>1.5,3764
ENSGACG00000001143,scaffold_27,M,>1.2,9696
ENSGACG00000001171,scaffold_27,M,>1.5,54751
ENSGACG00000001211,scaffold_27,M,>1.5,23254
ENSGACG00000001237,scaffold_27,F,>1.2,27154
ENSGACG00000001261,scaffold_224,M,>2,1573
ENSGACG00000001420,scaffold_115,M,>2,64091
ENSGACG00000001423,scaffold_115,M,>1.5,51365
ENSGACG00000001438,groupXVI,F,>1.2,NA
ENSGACG00000001446,groupXVI,M,>1.5,54020
ENSGACG00000001460,scaffold_111,F,>1.5,0
ENSGACG00000001482,scaffold_111,M,>3,NA
ENSGACG00000001488,groupXVI,F,>1.2,NA
ENSGACG00000001513,scaffold_27,F,>1.2,54991
ENSGACG00000001541,no longer in ensembl,F,>1.5,NA
ENSGACG00000001551,groupXVI,F,>1.5,84365
ENSGACG00000001563,groupXVI,F,>1.2,8886
ENSGACG00000001573,scaffold_27,M,>2,3700
ENSGACG00000001609,groupXVI,M,>1.5,1293
ENSGACG00000001672,scaffold_27,F,>1.5,51154
ENSGACG00000001700,groupXXI,M,>1.5,3688
ENSGACG00000001746,groupXVI,M,>1.2,23077
ENSGACG00000001750,scaffold_662,M,>3,0
ENSGACG00000001782,scaffold_132,F,>1.2,NA
ENSGACG00000001886,groupXVI,M,>2,1602
ENSGACG00000001888,scaffold_176,F,>1.5,51260
ENSGACG00000001922,groupX,F,>3,100133636
ENSGACG00000002016,scaffold_56,F,>1.2,83475
ENSGACG00000002051,groupXVI,M,>1.5,3676
ENSGACG00000002065,groupXVI,M,>2,6744
ENSGACG00000002118,groupX,F,>1.2,6135
ENSGACG00000002155,groupXXI,M,>1.5,10268
ENSGACG00000002159,groupV,M,>1.2,132
ENSGACG00000002164,groupXXI,F,>1.2,25983
ENSGACG00000002175,groupX,F,>1.5,NA
ENSGACG00000002183,groupXXI,M,>1.2,80344
ENSGACG00000002221,groupXIX,M,>1.2,57019
ENSGACG00000002246,groupVI,F,>1.5,55622
ENSGACG00000002250,groupXIX,M,>1.2,283849
ENSGACG00000002260,scaffold_54,M,>1.2,8522
ENSGACG00000002271,groupX,F,>1.2,286148
ENSGACG00000002276,groupXXI,F,>1.5,79711
ENSGACG00000002298,groupXVI,F,>1.5,58190
ENSGACG00000002320,groupXVI,F,>1.5,57181
ENSGACG00000002327,groupX,M,>1.5,NA
ENSGACG00000002329,groupX,F,>1.5,84967
ENSGACG00000002371,groupV,M,>1.5,51008
ENSGACG00000002375,groupV,M,>1.5,119504
ENSGACG00000002379,groupV,M,>3,54541
ENSGACG00000002381,groupXIX,M,>2,55107
ENSGACG00000002393,groupXVI,M,>1.5,7035
ENSGACG00000002401,groupXVI,M,>1.5,51454
ENSGACG00000002410,groupXIX,M,>1.5,1071
ENSGACG00000002423,groupVI,M,>1.2,0
ENSGACG00000002424,groupVI,F,>1.2,4931
ENSGACG00000002433,groupX,M,>2,348
ENSGACG00000002453,groupVI,F,>1.2,9533
ENSGACG00000002457,groupXIX,F,>2,51700
ENSGACG00000002469,groupXXI,F,>3,0
ENSGACG00000002511,groupXVI,M,>2,7145
ENSGACG00000002539,groupX,M,>1.2,374868
ENSGACG00000002540,groupXVI,M,>1.5,84812
ENSGACG00000002541,groupXIX,M,>2,NA
ENSGACG00000002542,groupV,M,>1.5,51363
ENSGACG00000002546,groupV,M,>1.5,4942
ENSGACG00000002601,groupXIX,F,>1.5,79918
ENSGACG00000002643,groupXXI,F,>1.5,22948
ENSGACG00000002648,groupXVI,F,>1.5,NA
ENSGACG00000002663,groupV,M,>1.5,5791
ENSGACG00000002690,groupXIX,F,>1.5,118460
ENSGACG00000002741,groupX,M,>1.5,2134
ENSGACG00000002749,groupXIX,M,>1.5,1573
ENSGACG00000002762,groupXII,M,>2,7871
ENSGACG00000002770,groupV,M,>3,NA
ENSGACG00000002784,groupXVI,M,>1.2,84522
ENSGACG00000002901,groupV,F,>1.5,8492
ENSGACG00000002903,groupXII,F,>1.5,0
ENSGACG00000002904,groupXVI,F,>1.5,51455
ENSGACG00000002906,groupV,F,>1.5,442247
ENSGACG00000002907,groupXII,M,>1.5,27233
ENSGACG00000002915,groupV,F,>1.2,55718
ENSGACG00000002918,groupXXI,F,>2,0
ENSGACG00000002926,groupXII,F,>1.5,9277
ENSGACG00000002931,groupVI,M,>1.2,54619
ENSGACG00000002948,groupVIII,F,>1.2,1662
ENSGACG00000002979,groupX,F,>1.2,84294
ENSGACG00000003003,groupXIX,F,>3,NA
ENSGACG00000003012,groupVI,F,>1.5,84172
ENSGACG00000003048,groupX,M,>1.5,6383
ENSGACG00000003052,groupVIII,M,>1.5,125972
ENSGACG00000003061,groupX,M,>1.2,7172
ENSGACG00000003066,groupXXI,M,>1.5,2321
ENSGACG00000003091,groupV,M,>1.5,55808
ENSGACG00000003102,groupXXI,M,>3,222484
ENSGACG00000003110,groupXXI,F,>1.2,NA
ENSGACG00000003122,groupV,F,>1.2,51491
ENSGACG00000003152,groupXIX,F,>2,55070
ENSGACG00000003177,groupXVII,F,>1.5,55661
ENSGACG00000003191,groupVI,F,>1.2,8661
ENSGACG00000003201,groupXX,F,>2,0
ENSGACG00000003213,groupXIX,M,>3,NA
ENSGACG00000003250,groupXVI,F,>1.5,6152
ENSGACG00000003257,groupXIX,F,>2,79650
ENSGACG00000003261,groupXIX,F,>1.2,1459
ENSGACG00000003277,groupVIII,M,>1.2,29985
ENSGACG00000003348,groupXIX,M,>1.5,10418
ENSGACG00000003382,groupXIX,F,>1.5,NA
ENSGACG00000003392,groupXII,M,>1.5,NA
ENSGACG00000003394,groupXVII,F,>2,NA
ENSGACG00000003422,groupXIX,M,>2,55742
ENSGACG00000003428,groupV,F,>1.2,124801
ENSGACG00000003429,groupXX,M,>3,NA
ENSGACG00000003441,groupXX,M,>2,348
ENSGACG00000003466,groupXIX,F,>1.5,10363
ENSGACG00000003476,groupXX,F,>1.2,6223
ENSGACG00000003491,groupXIX,F,>1.2,847
ENSGACG00000003499,groupXX,F,>1.5,10940
ENSGACG00000003504,groupV,F,>1.5,56652
ENSGACG00000003506,groupXX,M,>1.5,79815
ENSGACG00000003507,groupXIX,F,>2,387733
ENSGACG00000003516,groupVI,F,>1.2,51386
ENSGACG00000003530,groupX,M,>1.2,NA
ENSGACG00000003532,groupXVI,F,>1.5,1284
ENSGACG00000003537,groupVIII,M,>3,4225
ENSGACG00000003554,groupXIX,F,>1.5,64418
ENSGACG00000003573,groupXIX,F,>2,NA
ENSGACG00000003595,groupVI,M,>2,64094
ENSGACG00000003609,groupXIX,F,>1.5,23041
ENSGACG00000003628,groupX,F,>1.2,6156
ENSGACG00000003637,groupVIII,F,>1.2,51540
ENSGACG00000003638,groupVI,F,>1.2,4292
ENSGACG00000003639,groupXIX,F,>1.5,6718
ENSGACG00000003642,groupXIII,F,>1.2,64975
ENSGACG00000003648,groupXVI,M,>2,11167
ENSGACG00000003650,groupXIX,F,>3,8805
ENSGACG00000003676,groupXXI,M,>3,185
ENSGACG00000003698,groupVIII,M,>2,25992
ENSGACG00000003703,groupXIX,F,>1.5,5465
ENSGACG00000003704,groupXII,F,>1.2,5326
ENSGACG00000003720,groupXIX,F,>2,51067
ENSGACG00000003734,groupXIII,F,>1.5,NA
ENSGACG00000003735,groupXXI,M,>2,205428
ENSGACG00000003748,groupXIX,F,>2,1027
ENSGACG00000003757,groupXIX,F,>1.5,60488
ENSGACG00000003800,groupXII,M,>1.5,3875
ENSGACG00000003821,groupXIX,F,>2,90956
ENSGACG00000003840,groupXIX,F,>2,54517
ENSGACG00000003866,groupXVII,M,>1.5,54756
ENSGACG00000003879,groupXV,F,>1.2,51501
ENSGACG00000003882,groupVIII,F,>1.5,26574
ENSGACG00000003915,groupVI,M,>1.5,119395
ENSGACG00000003927,groupXIII,F,>1.2,57647
ENSGACG00000003928,groupXIX,F,>2,85378
ENSGACG00000003946,groupXVI,M,>2,2824
ENSGACG00000003947,groupXIX,F,>1.5,55198
ENSGACG00000003973,groupVIII,M,>2,2752
ENSGACG00000003993,groupV,M,>1.2,27243
ENSGACG00000003995,groupX,F,>1.5,6176
ENSGACG00000004015,groupXX,M,>1.5,217
ENSGACG00000004020,groupXIX,F,>2,84216
ENSGACG00000004024,groupV,F,>2,79922
ENSGACG00000004028,groupXIX,F,>1.5,5756
ENSGACG00000004050,groupXIX,F,>1.5,51135
ENSGACG00000004098,groupXIX,F,>1.5,51535
ENSGACG00000004103,groupXIX,F,>1.5,10138
ENSGACG00000004142,groupXIX,F,>2,4189
ENSGACG00000004145,groupXIX,F,>1.5,10059
ENSGACG00000004161,groupX,F,>3,1595
ENSGACG00000004178,groupXI,M,>1.5,226
ENSGACG00000004192,groupX,F,>1.2,65005
ENSGACG00000004194,groupXX,F,>1.5,2091
ENSGACG00000004215,groupXIX,F,>1.5,669
ENSGACG00000004216,groupXII,F,>1.2,57642
ENSGACG00000004217,groupXVIII,F,>1.5,NA
ENSGACG00000004230,groupVIII,F,1,NA
ENSGACG00000004250,groupXIX,F,>1.5,0
ENSGACG00000004261,groupXXI,M,>1.2,79072
ENSGACG00000004271,groupX,M,>1.2,4723
ENSGACG00000004286,groupXII,M,>3,84701
ENSGACG00000004293,groupXIII,F,>1.2,689
ENSGACG00000004300,groupXIII,F,>1.5,84135
ENSGACG00000004325,groupXIX,M,>2,7112
ENSGACG00000004350,groupXIX,F,>1.5,84912
ENSGACG00000004366,groupXVII,F,>1.2,8882
ENSGACG00000004371,groupXV,F,>2,51550
ENSGACG00000004372,groupXVII,F,>1.2,6146
ENSGACG00000004373,groupXV,F,>2,1736
ENSGACG00000004379,groupXVIII,M,>2,7056
ENSGACG00000004384,groupXIX,F,>2,79754
ENSGACG00000004390,groupXIII,M,>2,9180
ENSGACG00000004404,groupXI,M,>2,5493
ENSGACG00000004409,groupXIX,F,>1.2,83860
ENSGACG00000004429,groupXX,F,>1.5,84864
ENSGACG00000004431,groupXII,M,>1.5,4923
ENSGACG00000004448,groupXVII,M,>2,9249
ENSGACG00000004482,groupXVIII,M,>3,NA
ENSGACG00000004483,groupV,F,>1.2,26156
ENSGACG00000004502,groupVIII,F,>2,NA
ENSGACG00000004508,groupXVIII,M,>1.5,11117
ENSGACG00000004519,groupVIII,M,>1.2,NA
ENSGACG00000004528,groupXIX,F,>1.2,3034
ENSGACG00000004529,groupXIII,M,>1.2,NA
ENSGACG00000004538,groupXXI,M,>1.2,50807
ENSGACG00000004567,groupXI,M,>1.2,55062
ENSGACG00000004578,groupXIX,F,>2,9960
ENSGACG00000004587,groupXV,F,>1.5,NA
ENSGACG00000004588,groupVIII,M,>3,666
ENSGACG00000004597,groupV,M,>1.5,0
ENSGACG00000004610,groupXI,M,>1.5,10552
ENSGACG00000004613,groupXIX,F,>1.5,4123
ENSGACG00000004670,groupXIX,F,>2,79661
ENSGACG00000004675,groupXIX,F,>1.5,54939
ENSGACG00000004686,groupV,F,>1.5,50
ENSGACG00000004689,groupX,F,>1.2,51053
ENSGACG00000004700,groupXV,M,>1.2,51699
ENSGACG00000004716,groupX,F,>1.5,9056
ENSGACG00000004723,groupXIII,F,>2,493869
ENSGACG00000004724,groupXIX,F,>2,9399
ENSGACG00000004744,groupXIX,F,>2,3073
ENSGACG00000004753,groupXII,M,>1.5,NA
ENSGACG00000004758,groupXV,M,>2,1152
ENSGACG00000004772,groupXIX,F,>1.5,25820
ENSGACG00000004787,groupXV,F,>1.2,84334
ENSGACG00000004795,groupXIX,F,>2,60490
ENSGACG00000004798,groupXI,F,>1.5,0
ENSGACG00000004802,groupXI,M,>1.5,7106
ENSGACG00000004806,groupXIX,F,>2,51495
ENSGACG00000004811,groupI,M,>1.5,5648
ENSGACG00000004827,groupXIX,F,>1.5,81556
ENSGACG00000004832,groupV,F,>1.2,NA
ENSGACG00000004840,groupXX,F,>1.2,25879
ENSGACG00000004848,groupVIII,M,>3,3484
ENSGACG00000004897,groupXI,F,>1.5,3276
ENSGACG00000004902,groupXV,M,>1.5,84695
ENSGACG00000004926,groupXVII,F,>1.2,NA
ENSGACG00000004944,groupXII,M,>1.2,54896
ENSGACG00000004946,groupXX,M,>1.5,114792
ENSGACG00000004968,groupXIX,F,>1.5,6124
ENSGACG00000004978,groupXV,F,>1.5,64116
ENSGACG00000005028,groupXVI,F,>1.2,9874
ENSGACG00000005043,groupXIX,F,>2,55055
ENSGACG00000005072,groupXII,M,>2,6390
ENSGACG00000005078,groupXIX,F,>1.2,10302
ENSGACG00000005092,groupXIX,F,>2,4088
ENSGACG00000005119,groupXIX,F,>1.5,79719
ENSGACG00000005127,groupV,M,>1.2,23558
ENSGACG00000005150,groupVI,F,>1.5,9221
ENSGACG00000005152,groupVI,M,>1.2,10367
ENSGACG00000005167,groupXIX,F,>3,145853
ENSGACG00000005176,groupXIX,M,>3,8554
ENSGACG00000005181,groupXIX,F,>2,NA
ENSGACG00000005192,groupXX,M,>1.2,594
ENSGACG00000005198,groupXII,M,>1.5,8510
ENSGACG00000005200,groupVI,M,>1.5,170392
ENSGACG00000005213,groupXIX,F,>2,7090
ENSGACG00000005228,groupI,F,>1.2,144568
ENSGACG00000005239,groupXI,F,>1.2,7733
ENSGACG00000005252,groupXIX,F,>2,1643
ENSGACG00000005255,groupXIX,F,>2,55709
ENSGACG00000005272,groupXV,M,>1.5,25963
ENSGACG00000005293,groupXIX,F,>1.5,3508
ENSGACG00000005331,groupXIX,F,>1.5,66005
ENSGACG00000005355,groupXIX,F,>1.2,347862
ENSGACG00000005365,groupXIX,F,>3,977
ENSGACG00000005376,groupXVII,M,>1.5,333926
ENSGACG00000005392,groupVI,F,>1.5,2956
ENSGACG00000005396,groupI,F,>2,26073
ENSGACG00000005397,groupXIX,F,>2,376267
ENSGACG00000005399,groupXIX,F,>3,283229
ENSGACG00000005403,groupXI,F,>1.2,64118
ENSGACG00000005406,groupXIX,F,>3,51524
ENSGACG00000005436,groupXIX,F,>1.5,64787
ENSGACG00000005440,groupXIX,F,>1.5,64787
ENSGACG00000005473,groupXVII,F,>1.2,57727
ENSGACG00000005488,groupXXI,M,>1.5,5251
ENSGACG00000005521,groupXIX,F,>2,57104
ENSGACG00000005541,groupXIX,F,>2,NA
ENSGACG00000005561,groupXIX,F,>2,80162
ENSGACG00000005598,groupI,M,>1.5,5948
ENSGACG00000005599,groupX,F,>2,2170
ENSGACG00000005613,groupXIX,F,>1.5,5866
ENSGACG00000005623,groupXI,M,>1.2,3216
ENSGACG00000005632,groupXIX,F,>1.5,11234
ENSGACG00000005634,groupI,F,>1.2,56945
ENSGACG00000005659,groupXIX,F,>2,2965
ENSGACG00000005698,groupXV,M,>2,27232
ENSGACG00000005708,groupVIII,M,>2,8490
ENSGACG00000005711,groupXV,M,>1.5,0
ENSGACG00000005712,groupXV,M,>1.5,0
ENSGACG00000005724,groupXVII,F,>1.5,2819
ENSGACG00000005725,groupI,F,>2,10279
ENSGACG00000005728,scaffold_812,M,>1.5,79625
ENSGACG00000005730,groupXII,F,>1.2,3615
ENSGACG00000005737,groupXIX,F,>2,113174
ENSGACG00000005766,groupI,F,>1.5,29997
ENSGACG00000005809,groupXIX,F,>1.2,975
ENSGACG00000005812,groupXII,F,>1.2,7866
ENSGACG00000005839,groupXX,M,>1.5,0
ENSGACG00000005842,groupXIX,F,>1.5,11187
ENSGACG00000005853,groupXIX,F,>2,59307
ENSGACG00000005864,groupXX,M,>1.5,26330
ENSGACG00000005866,groupX,F,>1.2,83608
ENSGACG00000005889,groupXIX,F,>1.2,203859
ENSGACG00000005901,groupV,M,>1.5,8714
ENSGACG00000005906,groupXIX,F,>2,2188
ENSGACG00000005907,groupXI,F,>1.2,1632
ENSGACG00000005974,groupXIX,M,>1.5,10845
ENSGACG00000005978,groupXVI,F,>1.5,431705
ENSGACG00000005985,groupI,M,>1.5,6876
ENSGACG00000005988,groupXIX,F,>2,23431
ENSGACG00000005991,groupXVI,M,>1.2,10644
ENSGACG00000005999,groupVIII,M,>2,8412
ENSGACG00000006001,groupXIX,F,>3,55930
ENSGACG00000006018,groupXI,F,>1.5,NA
ENSGACG00000006020,groupXVIII,M,>1.5,26160
ENSGACG00000006027,groupX,F,>2,0
ENSGACG00000006042,groupXII,F,>1.5,NA
ENSGACG00000006047,groupXVIII,F,>2,790
ENSGACG00000006058,groupXIX,F,>3,51187
ENSGACG00000006071,groupVI,F,>2,80150
ENSGACG00000006074,groupXII,M,>1.5,26013
ENSGACG00000006111,groupXVII,M,>2,7482
ENSGACG00000006141,groupXIX,F,>2,22909
ENSGACG00000006194,groupXV,F,>2,NA
ENSGACG00000006198,groupXX,M,>1.5,157638
ENSGACG00000006204,groupXV,F,>1.5,0
ENSGACG00000006228,groupXI,M,>1.5,0
ENSGACG00000006232,groupXIX,F,>1.5,2585
ENSGACG00000006255,groupXI,M,>2,114770
ENSGACG00000006260,groupXIX,F,>1.5,58472
ENSGACG00000006264,groupX,M,>1.5,7980
ENSGACG00000006267,groupV,M,>1.5,60681
ENSGACG00000006278,groupXI,F,>1.2,2193
ENSGACG00000006281,groupXIX,M,>1.5,51496
ENSGACG00000006293,groupXX,F,>1.5,8667
ENSGACG00000006308,groupVIII,M,>1.5,116441
ENSGACG00000006315,groupXIX,F,>1.5,54956
ENSGACG00000006339,groupXVIII,M,>1.5,3910
ENSGACG00000006351,groupXIX,F,>2,NA
ENSGACG00000006425,groupX,F,>1.5,221830
ENSGACG00000006471,groupXVIII,F,>1.2,10758
ENSGACG00000006492,groupV,M,>2,1369
ENSGACG00000006516,groupXIX,F,>1.5,9377
ENSGACG00000006519,groupVIII,M,>2,2817
ENSGACG00000006521,groupXIX,F,>2,56672
ENSGACG00000006545,groupVIII,M,>1.5,NA
ENSGACG00000006549,groupVI,F,>2,285
ENSGACG00000006562,groupVIII,F,>2,55283
ENSGACG00000006582,groupXIX,M,>2,5682
ENSGACG00000006592,groupX,M,>1.5,8910
ENSGACG00000006605,groupXVI,M,>1.5,57493
ENSGACG00000006616,groupXVI,M,>1.5,84561
ENSGACG00000006629,groupXVIII,M,>1.5,23118
ENSGACG00000006659,groupXIX,F,>1.5,NA
ENSGACG00000006673,groupV,M,1,5950
ENSGACG00000006676,groupXVII,M,>1.5,NA
ENSGACG00000006686,groupXX,M,>2,10584
ENSGACG00000006687,groupXIX,F,>1.5,144100
ENSGACG00000006693,groupXV,M,>1.5,84618
ENSGACG00000006695,groupVIII,F,>1.5,54680
ENSGACG00000006701,groupXIX,M,>3,84919
ENSGACG00000006703,groupXIX,F,>1.2,6207
ENSGACG00000006720,groupXVIII,M,>2,54346
ENSGACG00000006730,groupVIII,M,>1.2,7075
ENSGACG00000006738,groupXIX,F,>1.5,5286
ENSGACG00000006754,groupVIII,M,>2,8907
ENSGACG00000006769,groupXIII,M,>1.2,195827
ENSGACG00000006797,groupXVI,F,>2,494188
ENSGACG00000006809,groupXIX,M,>2,6996
ENSGACG00000006810,groupXIX,F,>2,6996
ENSGACG00000006822,groupXIX,F,>1.5,25813
ENSGACG00000006852,groupXI,M,>1.5,23533
ENSGACG00000006855,groupXVI,F,>1.2,NA
ENSGACG00000006905,groupXIII,M,>1.5,730
ENSGACG00000006950,groupXIX,F,>1.5,221120
ENSGACG00000007007,groupV,F,>1.2,NA
